Bairro,Aluguel.1,Condomínio,IPTU,Area.1,Classificação Bairro,Preço/m²
Santo Antônio de Lisboa,6000,1.213,0.0,330,B,18.181818181818183
Centro,950,0.0,165.0,30,B,31.666666666666668
Abraão,2500,567.0,0.0,72,B,34.72222222222222
Trindade,900,230.0,0.0,26,B,34.61538461538461
Jurerê,2200,0.0,0.0,75,A,29.333333333333332
Centro,950,0.0,165.0,30,B,31.666666666666668
Campeche,1950,0.0,0.0,90,B,21.666666666666668
Lagoa da Conceição,1500,0.0,0.0,35,B,42.857142857142854
Jurerê Internacional,5500,880.0,0.0,200,A,27.5
Campeche,3300,1.0,0.0,103,B,32.03883495145631
Córrego Grande,2500,550.0,0.0,94,A,26.595744680851062
Cachoeira do Bom Jesus,480,0.0,0.0,45,C,10.666666666666666
Itacorubi,1100,0.0,0.0,21,B,52.38095238095238
Cacupé,2900,728.0,0.0,47,A,61.702127659574465
Agronômica,4900,916.0,0.0,141,C,34.751773049645394
Centro,950,0.0,165.0,30,B,31.666666666666668
Santa Mônica,2000,100.0,0.0,20,B,100.0
Cacupé,2250,707.0,0.0,45,A,50.0
Capoeiras,900,0.0,67.0,50,B,18.0
Centro,950,0.0,165.0,30,B,31.666666666666668
Estreito,3000,1.158,0.0,285,B,10.526315789473685
Abraão,2500,567.0,0.0,97,B,25.77319587628866
Trindade,2700,800.0,0.0,94,B,28.72340425531915
Centro,950,0.0,165.0,30,B,31.666666666666668
Abraão,2500,567.0,0.0,72,B,34.72222222222222
Trindade,900,230.0,0.0,26,B,34.61538461538461
Jurerê,2200,0.0,0.0,75,A,29.333333333333332
